,title,originallink,link,description,pubDate
10,"플래티어, 작년 매출 298억원·영업손실 70억원",https://zdnet.co.kr/view/?no=20250319174127,https://n.news.naver.com/mnews/article/092/0002367305?sid=105,"지난해 출시한 온프레미스 <b>LLM</b> 기반 'X2BEE AI'를 통해 기업의 민감한 정보를 보호하는 동시에, 최첨단 생성형 AI 기술을 이커머스 프로세스 전반에 적용해 이커머스 사업자 및 D2C 고객의 경쟁력 강화를 지원하는... ","Wed, 19 Mar 2025 17:42:00 +0900"
11,"메디올로지, AI 의료 솔루션 고도화 계획",https://it.chosun.com/news/articleView.html?idxno=2023092136553,https://it.chosun.com/news/articleView.html?idxno=2023092136553,거대언어모델(<b>LLM</b>)의 한계를 극복하기 위해 환자 대화 데이터와 의료진 피드백을 활용한 데이터베이스 고도화 방식을 채택했다. 정설아 메디올로지 대표는 &quot;이번 팁스 선정으로 기술력과 성장 가능성을 인정받았다&quot;며... ,"Wed, 19 Mar 2025 17:42:00 +0900"
12,"경남대, 초거대제조AI 개발 선도하며 제조AI∙디지털혁신거점으로 거듭...",https://www.newsfreezone.co.kr/news/articleView.html?idxno=615467,https://www.newsfreezone.co.kr/news/articleView.html?idxno=615467,"<b>LLM</b>)과 경남대만의 제조산업 특화 지식그래프 기술을 기반으로 둔 검색증강생성(RAG) 모델을 개발, 각 기업에 맞는 최적화된 서비스를 제공하는 데 노력을 기울여 왔다. 하지만 제조업에서 물리적 개념 이해가 부족한 <b>LLM</b>... ","Wed, 19 Mar 2025 17:38:00 +0900"
13,[박지훈 기자의 非상장기업 원석 찾기] 시나몬 | AI와 3D의 결합 누구나...,https://www.mk.co.kr/article/11268080,https://n.news.naver.com/mnews/article/009/0005461564?sid=004,"시네브이는 이 문제를 해결하기 위해 사용자가 직접 작성한 ‘이야기나 시나리오’를 <b>LLM</b>(대형 언어모델)을 통해 분석·재구성한 뒤, AI가 자동으로 가장 적합한 캐릭터·배경·조명·동작·대사 등을 3D 공간에 배치한다.... ","Wed, 19 Mar 2025 17:36:00 +0900"
14,&quot;크몽에 등록된 인재 50만명…대기업도 'AI 개발자' 빌려쓰죠&quot; [스케일업...,https://www.sedaily.com/NewsView/2GQB2K7H0I,https://n.news.naver.com/mnews/article/011/0004463238?sid=101,김 대표는 &quot;크몽 엔터프라이즈 매출은 2021년 출시 이후 빠르게 성장해 전체 매출의 10% 이상을 차지하고 있다&quot;면서 &quot;거대언어모델(<b>LLM</b>) 개발 등과 같은 고난이도 프로젝트에도 크몽의 전문가들이 참여하고 있다&quot;고... ,"Wed, 19 Mar 2025 17:35:00 +0900"
15,美 AI 스타트업 앤스로픽 &quot;한국에 지사 만들 것&quot;,http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202503190571&t=NN,https://n.news.naver.com/mnews/article/215/0001202497?sid=101,젠슨 책임자는 이날 거대 언어 모델(<b>LLM</b>) 모니터링 및 분석 플랫폼을 제공하는 한국 스타트업 콕스웨이브와 앤스로픽이 서울 송파구 시그니엘에서 공동 주최한 '코리아 빌더 서밋' 오프닝 세션에서 이같이 밝혔다.... ,"Wed, 19 Mar 2025 17:28:00 +0900"
16,"젠슨 황, GTC 2025에서 추론 AI로 '딥시크 쇼크' 우려 반박",https://www.greened.kr/news/articleView.html?idxno=324532,https://www.greened.kr/news/articleView.html?idxno=324532,"해당 시뮬레이션 영상에서 전통적인 대형 언어 모델(<b>LLM</b>)은 결혼식 테이블 배치와 같은 복잡한 문제에서... 이 소프트웨어는 수천 개 GPU에서 추론 작업을 조정하고, 대형 언어 모델(<b>LLM</b>)의 처리와 생성 단계를... ","Wed, 19 Mar 2025 17:24:00 +0900"
17,"여행업계 혁신, AI 에이전트 '하이'로 앞장선다",https://www.cbci.co.kr/news/articleView.html?idxno=491478,https://www.cbci.co.kr/news/articleView.html?idxno=491478,"이 서비스는 여러 대규모 언어 모델(<b>LLM</b>)을 조합해 고객 문의의 맥락을 분석하고, 적절한 모델을 자동으로 선택하는 방식으로 운영된다. 오픈AI의 GPT 모델은 여행 일정 및 상품 추천을 담당하며, AWS 클라우드 모델은... ","Wed, 19 Mar 2025 17:24:00 +0900"
18,KT 15년 만에 주가 최고가…김영섭 AX매직 통했다,https://www.newsis.com/view/NISX20250319_0003105023,https://n.news.naver.com/mnews/article/003/0013129540?sid=105,"현재 한국적 거대언어모델(<b>LLM</b>) 개발을 추진 중이며, 올 2분기에는 시큐어퍼블릭클라우드(SPC)도 출시한다. 이달 중에는 MS와 300여 명 규모의 ‘AX 딜리버리 전문센터’ 조직을 신설할 예정이다. 100명은 MS에서... ","Wed, 19 Mar 2025 17:19:00 +0900"
19,"명현 카이스트교수 &quot;공간지능·자율주행 로봇, 스마트시티 핵심 열쇠&quot;",https://www.news1.kr/realestate/general/5724486,https://n.news.naver.com/mnews/article/421/0008139811?sid=101,명현 카이스트 전기 및 전자공학부 교수는 19일 오후 서울 여의도 한국거래소에서 열린 제11회 뉴스1 부동산 포럼에서 &quot;공간 AI에 <b>LLM</b>(초거대 언어모델)과 VLM(시각 언어모델)이 결합되면 건설현장의 안전관리와 무인화... ,"Wed, 19 Mar 2025 17:13:00 +0900"
20,"롯데손보, AI 개발 운영 플랫폼 구축",http://www.shinailbo.co.kr/news/articleView.html?idxno=2023123,http://www.shinailbo.co.kr/news/articleView.html?idxno=2023123,"또한 텍스트만을 입력받아 처리하는 <b>LLM</b>(라지 랭귀지 모델, Large Language Model) 뿐만 아니라 텍스트와 이미지를 비롯한 다양한 데이터를 통합적으로 처리할 수 있는 ‘멀티모달 모델(Multimodal Model)'을 활용할 수 있는... ","Wed, 19 Mar 2025 17:12:00 +0900"
21,앤스로픽 &quot;한국에 지사 만들 것…올해 아태지역 투자 본격화&quot;,https://biz.sbs.co.kr/article_hub/20000223662?division=NAVER,https://n.news.naver.com/mnews/article/374/0000430524?sid=101,젠슨 책임자는 거대 언어 모델(<b>LLM</b>) 모니터링 및 분석 플랫폼을 제공하는 한국 스타트업 콕스웨이브와 앤스로픽이 서울 송파구 시그니엘에서 공동 주최한 '코리아 빌더 서밋' 오프닝 세션에서 이같이 밝혔습니다.... ,"Wed, 19 Mar 2025 17:08:00 +0900"
22,"롯데손해보험, 자체 인공지능 개발 플랫폼 구축…NH농협손보, 2025년 '윤...",http://www.sisaon.co.kr/news/articleView.html?idxno=169233,http://www.sisaon.co.kr/news/articleView.html?idxno=169233,"또한, 텍스트만을 입력받아 처리하는 <b>LLM</b>(Large Language Model) 뿐만 아니라 텍스트와 이미지를 비롯한 다양한 데이터를 통합적으로 처리할 수 있는 '멀티 모달 모델'(Multimodal Model)을 활용할 수 있는 기반도 조성됐다. 이를... ","Wed, 19 Mar 2025 17:06:00 +0900"
23,'대륙의 실수에서 자랑으로'...中 'BATX' 선두 주자 샤오미 [데일리 아시...,http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202503190552&t=NN,https://n.news.naver.com/mnews/article/215/0001202483?sid=101,바이두는 최근 AI 추론모델 어니(Ernie) X1과 대규모 언어 모델(<b>LLM</b>) 어니 4.5을 내놨는데 중국의 딥시크와 미국 오픈AI의 챗GPT보다 가격은 훨씬 저렴한 데 성능은 우수하다고 설명했습니다. 알리바바 역시 이달 초 AI 모델... ,"Wed, 19 Mar 2025 17:05:00 +0900"
24,"KT, MS 손잡고 게임산업에 클라우드·AI 공급 본격화",http://www.edaily.co.kr/news/newspath.asp?newsid=04004886642104960,https://n.news.naver.com/mnews/article/018/0005966188?sid=105,"더불어 KT는 AI와 거대언어모델(<b>LLM</b>)을 활용한 다양한 게임 개발 사례를 들어 게임 개발의 효율성을 높이고, 사용자 경험을 고도화하는 방안도 설명했다. KT는 현재 마이크로소프트와 한국적 AI를 공동 개발하고 있는... ","Wed, 19 Mar 2025 17:01:00 +0900"
25,"네이버, 매출 대비 R&amp;D 투자 20% 비율 깨져…카카오도 상승률 주춤",https://www.etnews.com/20250319000166,https://n.news.naver.com/mnews/article/030/0003294810?sid=101,이성엽 고려대 기술경영전문대학원 교수는 “최근 경기가 좋지 않고 불확실성도 크다 보니 R&amp;D 방향을 정하는데 고민이 있을 것”이라면서 “정부 정책에서도 거대언어모델(<b>LLM</b>) 개발 등에서 네이버가 어떤 역할을... ,"Wed, 19 Mar 2025 17:01:00 +0900"
26,AI '클로드' 개발한 美 앤트로픽 &quot;韓 법인 설립 목표&quot;,https://www.ajunews.com/view/20250319153840647,https://www.ajunews.com/view/20250319153840647,"거대언어모델(<b>LLM</b>) '클로드(Claude)'를 개발했다. 콕스웨이브는 국내 AI 스타트업으로 제품 분석 플랫폼 '얼라인'을 운영 중이다. 케이트 매출 총괄 책임자는 &quot;라이너, 뤼튼, 콕스웨이브와 같은 생성형 AI 기업이 활동하고... ","Wed, 19 Mar 2025 17:00:00 +0900"
27,"&quot;생성형 AI 적극 활용, 업무서비스 고도화&quot;… 롯데손보, 자체 AI개발 플...",https://www.ddaily.co.kr/page/view/2025031916591676012,https://n.news.naver.com/mnews/article/138/0002192960?sid=105,또한 텍스트만을 입력받아 처리하는 <b>LLM</b>(거대언어모델) 뿐만 아니라 텍스트와 이미지를 비롯한 다양한 데이터를 통합적으로 처리할 수 있는 ‘멀티 모달 모델’을 활용할 수 있는 기반도 조성돼 활용성이 크게 높아질... ,"Wed, 19 Mar 2025 17:00:00 +0900"
28,앤스로픽 &quot;한국에 지사 만들 것…올해 아태지역 투자 본격화&quot;,https://www.yna.co.kr/view/AKR20250319138300017?input=1195m,https://n.news.naver.com/mnews/article/001/0015275227?sid=105,젠슨 책임자는 이날 거대 언어 모델(<b>LLM</b>) 모니터링 및 분석 플랫폼을 제공하는 한국 스타트업 콕스웨이브와 앤스로픽이 서울 송파구 시그니엘에서 공동 주최한 '코리아 빌더 서밋' 오프닝 세션에서 이같이 밝혔다.... ,"Wed, 19 Mar 2025 16:58:00 +0900"
29,AI가 인재관리 돕는다 고객사만 32개국·1만개,https://www.mk.co.kr/article/11268000,https://n.news.naver.com/mnews/article/009/0005461505?sid=101,"클라썸은 여러 거대언어모델(<b>LLM</b>)을 병합해 스킬 정의에 최적화된 모델을 만들었다. 또 AI 기술을 이용해 스킬 진단과 평가 단계를 자동화했고, 사용 기업에 맞춤형으로 제작했다. 예를 들어 기업이 데이터 분석가를... ","Wed, 19 Mar 2025 16:55:00 +0900"
30,"샤오미, 지난해 사상 최대 실적…2027년부터 전기차 해외 진출",https://www.sedaily.com/NewsView/2GQB1XJU07,https://n.news.naver.com/mnews/article/011/0004463202?sid=104,"루 회장은 “단기적으로 샤오미는 AI 인프라를 잘 구축하고, 거대언어모델(<b>LLM</b>)과 대형 멀티모달 모델 등 AI 기술을 개발해 AI 대형 모델이 수퍼샤오아이(AI 비서)나 스마트 콕핏(운전석), 스마트 드라이빙 등에... ","Wed, 19 Mar 2025 16:53:00 +0900"
31,"하나투어, 멀티 AI 에이전트 ‘하이(H-AI)’ 론칭…상품 추천 등 AI가 ‘...",https://hobbyen-news.com/news/view/1065598728458142,https://hobbyen-news.com/news/view/1065598728458142,"[사진=하나투어] 이를 위해 단일 AI 모델이 아닌 여러 대규모 언어 모델(<b>LLM</b>)을 조합하고, 독립적인 특성을 갖는 AI 에이전트를 멀티로 구성하게 설계했고, 고객의 문의 맥락을 분석해 가장 적절한 모델을 자동 선택해... ","Wed, 19 Mar 2025 16:46:00 +0900"
32,&quot;부적절한 프롬프트입니다&quot;…민감정보 가려내는 '스핑크스 AI',https://www.ddaily.co.kr/page/view/2025031916321016039,https://n.news.naver.com/mnews/article/138/0002192957?sid=105,"스핑크스 AI는 챗GPT, 클로드, 제미나이 등 생성형 AI 모델과 더불어 기업에서 자체 개발한 프라이빗 거대언어모델(<b>LLM</b>)과도 연동 중계가 가능하다. 로컬 환경에서도 프롬프트 위협 없이 생성형 AI를 활용할 수 있다는... ","Wed, 19 Mar 2025 16:45:00 +0900"
33,[이번 주 공공사업] 301억원 외교부 '지능형 외교안보 데이터 플랫폼' 구...,http://www.itdaily.kr/news/articleView.html?idxno=231667,http://www.itdaily.kr/news/articleView.html?idxno=231667,"및 <b>LLM</b> 모델 개발 △AI 기반 외교안보 데이터 플랫폼 구축 △지능형 외교안보 데이터 관리체계 수립... 이번 사업이 프라이빗 클라우드를 기반으로 데이터 플랫폼과 <b>LLM</b> 모델을 개발하는 만큼, 데이터 활용 기반과... ","Wed, 19 Mar 2025 16:42:00 +0900"
34,"하나투어, ‘하이(H-AI)’ 출시…AI로 여행 서비스 혁신",http://www.edaily.co.kr/news/newspath.asp?newsid=03804806642104960,https://n.news.naver.com/mnews/article/018/0005966158?sid=103,"이번 서비스는 단일 AI 모델이 아닌 여러 대규모 언어 모델(<b>LLM</b>)을 조합한 멀티 구조로 설계됐다. 오픈AI GPT 계열 모델은 여행 일정 및 상품 추천을 담당하며, AWS 클로드(Claude) 모델은 고객 문의 응대와 정책 안내를... ","Wed, 19 Mar 2025 16:39:00 +0900"
35,"경남대, 초거대제조AI 후속 사업 추진 다자간 협약 체결",https://www.newspim.com/news/view/20250319000893,https://www.newspim.com/news/view/20250319000893,거대언어모델(<b>LLM</b>)과 경남대만의 제조산업 특화 지식그래프 기술을 기반으로 둔 검색증강생성(RAG) 모델을... 하지만 제조업에서 물리적 개념 이해가 부족한 <b>LLM</b>만으로는 범용 서비스 개발 및 적용 한계가 있음을... ,"Wed, 19 Mar 2025 16:38:00 +0900"
36,한국 처음 찾은 오픈AI 대항마 ‘앤스로픽’ “아태 지역에 첫번째 사무...,https://www.chosun.com/economy/tech_it/2025/03/19/QX6OQ25UEBFWNBYQL4J6CYPFOQ/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,https://n.news.naver.com/mnews/article/023/0003894391?sid=105,이후 챗GPT 성능과 비견되는 대규모 언어 모델(<b>LLM</b>) ‘클로드’를 개발하며 대표적인 오픈AI 대항마로... 업계 관계자는 “미국 AI 기업들이 내놓은 대규모 언어 모델(<b>LLM</b>) 성능이 어느 정도 상향 평준화되면서 개발... ,"Wed, 19 Mar 2025 16:38:00 +0900"
37,"앤트로픽, 아시아 시장 공략 본격화...한국 사업도 탄력",https://www.digitaltoday.co.kr/news/articleView.html?idxno=557845,https://www.digitaltoday.co.kr/news/articleView.html?idxno=557845,글로벌 유력 거대 언어 모델(<b>LLM</b>) 개발사들이 아시아 공략에 속도를 내면서 한국 시장도 직접적인 영향권에 들어서는 모습이다. 오픈AI는 일본 지사를 설립한 후 최근 한국에서 개발자 컨퍼런스를 진행했고 오픈AI... ,"Wed, 19 Mar 2025 16:38:00 +0900"
38,"경남대, 초거대제조AI 후속 사업 추진 위한 다자간 협약 체결",https://view.asiae.co.kr/article/2025031916372092896,https://n.news.naver.com/mnews/article/277/0005563629?sid=102,거대언어모델(<b>LLM</b>)과 경남대만의 제조산업 특화 지식그래프 기술을 기반으로 둔 검색증강생성(RAG) 모델을... 하지만 제조업에서 물리적 개념 이해가 부족한 <b>LLM</b>만으로는 범용 서비스 개발 및 적용 한계가 있음을 발견하고... ,"Wed, 19 Mar 2025 16:37:00 +0900"
39,"엔비디아 &quot;AI 팩토리 운영체제 '다이나모' 적용, 딥시크 성능 30배↑&quot; [G...",https://it.chosun.com/news/articleView.html?idxno=2023092136505,https://it.chosun.com/news/articleView.html?idxno=2023092136505,"거대언어모델(<b>LLM</b>)의 처리와 생성 단계들을 서로 다른 GPU로 분리한다. 이를 통해 각 단계에서 특정 요구... '다이나모'는 오픈소스로 제공되며 파이토치(PyTorch), SG랭(SGLang), 텐서RT(TensorRT)-<b>LLM</b>, vLLM을 지원한다. 또한... ","Wed, 19 Mar 2025 16:36:00 +0900"
40,기업의 보안 이슈 정면으로 다룬 제11회 이코노미스트 테크 포럼 성황리...,https://economist.co.kr/article/view/ecn202503190062,https://n.news.naver.com/mnews/article/243/0000074678?sid=101,"두 번째 세션 연사인 김병훈 CTO는 ‘AI가 가져온 혁명과 <b>LLM</b> 보안의 필요성’이라는 주제로 일반인들도... “대규모언어모델(<b>LLM</b>)은 보안업계에 새로운 기회이기도 하고, 새로운 위협이다”고 총평했다. 마지막 세션은... ","Wed, 19 Mar 2025 16:24:00 +0900"
41,앤트로픽 “올해 아시아에 첫 오피스 설립한다...한국 진출도 기대”,https://www.mk.co.kr/article/11267940,https://n.news.naver.com/mnews/article/009/0005461469?sid=105,이어 연사로 등장한 마이크 크리거 앤트로픽 최고제품책임자(CPO)는 앤트로픽 기업에 대한 소개와 함께 자사의 거대언어모델(<b>LLM</b>)인 ‘클로드’ 제품군에 대해 설명했다. 앤트로픽은 지난달 추론 모델과 일반 모델을... ,"Wed, 19 Mar 2025 16:24:00 +0900"
42,매출 73조·사상 최대 中 샤오미 &quot;AI에 1조 투자하겠다&quot;,https://www.dt.co.kr/contents.html?article_no=2025031902109931065006&ref=naver,https://n.news.naver.com/mnews/article/029/0002942242?sid=105,"그는 &quot;단기적으로 AI 인프라를 잘 구축하고, 거대언어모델(<b>LLM</b>)과 대형 멀티모달 모델 등 기술을 개발해 AI 대형 모델이 수퍼샤오아이(AI 비서), 스마트 콕핏, 스마트 드라이빙 등에 적용되도록 할 것&quot;이라며... ","Wed, 19 Mar 2025 16:20:00 +0900"
43,"SKT, AI에이전트 '에이닷'에 구글 '제미나이' 최신 버전 추가",https://www.itbiznews.com/news/articleView.html?idxno=163196,https://www.itbiznews.com/news/articleView.html?idxno=163196,"대규모언어모델(<b>LLM</b>)인 제미나이(Gemini) 최신 모델 '제미나이 2.0 플래시'를 추가하며 기능 업데이트를 단행했다. AI 모델 확대 제공을 통해 이용자들은 국내 대표 <b>LLM</b>인 SK텔레콤의 'A.X'와 'GPT', '클로드(Claude)... ","Wed, 19 Mar 2025 16:20:00 +0900"
44,"줌, AI 컴패니언에 에이전트형 AI 스킬 추가",https://byline.network/?p=9004111222559012,https://byline.network/?p=9004111222559012,"줌 고유의 AI 연합접근법의 일환으로, 커스텀 AI 컴패니언 애드온은 줌의 서드파티 대형 언어 모델(<b>LLM</b>)과 함께 소형 언어 모델(SLM)을 활용해 고성능과 비용 효율성을 제공한다. 줌의 새로운 SLM는 다국어 데이터로... ","Wed, 19 Mar 2025 16:18:00 +0900"
45,앤트로픽 “韓 스타트업 주목… 아태 지역에 첫 사무소 세울 것”,https://biz.chosun.com/it-science/ict/2025/03/19/TSYYFOT43RB4PAEHWPO72SP5AY/?utm_source=naver&utm_medium=original&utm_campaign=biz,https://n.news.naver.com/mnews/article/366/0001062186?sid=105,"다른 <b>LLM</b>은 다소 로봇 같지만, 클로드는 더 자연스럽다. 또 품질뿐 아니라 가격도 생각해야 한다. 비용 효율성과 높은 품질이 클로드의 장점”이라고 밝혔다. 김주원 콕스웨이브 대표는 “앤트로픽과의 서밋... ","Wed, 19 Mar 2025 16:17:00 +0900"
46,"[현장] 앤트로픽-콕스웨이브, 韓서 'AI 자동화·성능분석' 투트랙 공략",https://zdnet.co.kr/view/?no=20250319160359,https://n.news.naver.com/mnews/article/092/0002367276?sid=105,젠슨 책임자에 따르면 앤트로픽은 현재 '프런티어급 거대언어모델(<b>LLM</b>)'을 개발하며 AI 모델의 안전성과 활용성을 동시에 높이는 것을 핵심 전략으로 삼고 있다. 이번에 발표된 '클로드 소네트 3.7'은 ▲파운데이션 모델... ,"Wed, 19 Mar 2025 16:16:00 +0900"
47,"김영섭 대표가 KT의 혁신, 군살도 빼고 AI 밀면서 주가 치솟아",http://www.techholic.co.kr/news/articleView.html?idxno=216038,http://www.techholic.co.kr/news/articleView.html?idxno=216038,결국 오픈AI의 '챗GPT-4o'를 활용한 다양한 기업 특화 AI 구축 사업을 통해 AX 시장 영향력을 확대하겠다는 전략이며 '하드웨어 인프라-AI모델(<b>LLM</b> 등)-AI서비스'로 이어지는 AI 생태계 전반을 컨설팅해주는 AI 솔루션... ,"Wed, 19 Mar 2025 16:12:00 +0900"
48,"MS와 협업하는 KT, 국내 게임산업 AX 전환 추진",https://www.dt.co.kr/contents.html?article_no=2025031902109931029006&ref=naver,https://n.news.naver.com/mnews/article/029/0002942236?sid=105,"이와 함께 KT는 AI와 거대언어모델(<b>LLM</b>)을 활용한 다양한 게임 개발 사례를 들어 게임 개발의 효율성을 높이고, 사용자 경험을 고도화하는 방안도 설명했다. 예를 들어 국내외 게임 환경에 적합한 NPC와 CPC를 생성하거나... ","Wed, 19 Mar 2025 16:11:00 +0900"
49,"딥엘, '2025 세계에서 가장 혁신적인 기업'에 선정… &quot;비즈니스 위한 첨...",https://kr.aving.net/news/articleView.html?idxno=1798294,https://kr.aving.net/news/articleView.html?idxno=1798294,"모델(<b>LLM</b>) 기반 번역은 경쟁사 대비 우수한 성능을 입증했다. 동일한 수준의 품질을 달성하기까지 구글 번역은 두 배, 챗GPT-4는 세 배 더 많은 수정 작업이 필요한 것으로 나타나, 딥엘의 차세대 <b>LLM</b> 기반 번역이... ","Wed, 19 Mar 2025 16:06:00 +0900"
50,[혁신플랫폼톡]AI 전쟁 속 '승자'가 되려면,https://www.etnews.com/20250319000022,https://n.news.naver.com/mnews/article/030/0003294762?sid=101,대량의 데이터를 고객이 하나하나 이해하고 찾아 출력하기는 어렵기 때문에 거대언어모델(<b>LLM</b>) 엔진을 통한 대화로 원하는 데이터를 시각화해 보여줄 수 있는 코드 제너레이터(Code Generator) 기능도 제공한다. 여기에... ,"Wed, 19 Mar 2025 16:01:00 +0900"
51,"롯데손해보험, ‘생성형AI 개발 운영 플랫폼’ 구축",http://www.g-enews.com/ko-kr/news/article/news_all/202503191545371205e30fcb1ba8_1/article.html,http://www.g-enews.com/ko-kr/news/article/news_all/202503191545371205e30fcb1ba8_1/article.html,또 텍스트만을 입력받아 처리하는 <b>LLM</b>(Large Language Model) 뿐만 아니라 텍스트와 이미지를 비롯한 다양한 데이터를 통합적으로 처리할 수 있는 ‘멀티 모달 모델’(Multimodal Model)을 활용할 수 있는 기반도 조성됐다. 이를... ,"Wed, 19 Mar 2025 15:56:00 +0900"
52,"'AI와 의료의 만남', 메디컬 코리아 2025에서 의료 혁신 선보인다",https://www.imaeil.com/page/view/2025031718021657667,https://n.news.naver.com/mnews/article/088/0000936884?sid=101,"포럼 1은 'AI 기반 개인 맞춤형 헬스케어의 미래'를 주제로 양자컴퓨터, 거대언어모델(<b>LLM</b>), 의료-정보통신... 의료분야의 <b>LLM</b>의 발전 양상을 소개한다. 포럼 2는 개인 맞춤형 혁신 암치료 기술동향 및 사례를 발표한다.... ","Wed, 19 Mar 2025 15:50:00 +0900"
